time,latitude,longitude,analysed_sst,analysis_error
UTC,degrees_north,degrees_east,degree_C,degree_C
2016-05-30T09:00:00Z,32.12,-77.1,26.964,0.39
2016-05-30T09:00:00Z,32.12,-77.09,26.956,0.39
2016-05-30T09:00:00Z,32.12,-77.08,26.947,0.39
2016-05-31T09:00:00Z,32.1,-77.1,27.041,0.39
2016-05-31T09:00:00Z,32.1,-77.09,27.012,0.39
2016-05-31T09:00:00Z,32.1,-77.08,26.979,0.39
2016-05-31T09:00:00Z,32.11,-77.1,27.049,0.39
2016-05-31T09:00:00Z,32.11,-77.09,27.022,0.39
2016-05-31T09:00:00Z,32.11,-77.08,26.99,0.39
2016-05-31T09:00:00Z,32.12,-77.1,27.059,0.39
2016-05-31T09:00:00Z,32.12,-77.09,27.033,0.39
2016-05-31T09:00:00Z,32.12,-77.08,27.003,0.39
2016-06-01T09:00:00Z,32.1,-77.1,27.413,0.38
2016-06-01T09:00:00Z,32.1,-77.09,27.399,0.38
2016-06-01T09:00:00Z,32.1,-77.08,27.374,0.38
2016-06-01T09:00:00Z,32.11,-77.1,27.412,0.38
2016-06-01T09:00:00Z,32.11,-77.09,27.397,0.38
2016-06-01T09:00:00Z,32.11,-77.08,27.373,0.38
2016-06-01T09:00:00Z,32.12,-77.1,27.412,0.38
2016-06-01T09:00:00Z,32.12,-77.09,27.397,0.38
2016-06-01T09:00:00Z,32.12,-77.08,27.375,0.38
2016-06-02T09:00:00Z,32.1,-77.1,27.578,0.38
2016-06-02T09:00:00Z,32.1,-77.09,27.578,0.38
2016-06-02T09:00:00Z,32.1,-77.08,27.559,0.38
2016-06-02T09:00:00Z,32.11,-77.1,27.59,0.38
2016-06-02T09:00:00Z,32.11,-77.09,27.589,0.38
2016-06-02T09:00:00Z,32.11,-77.08,27.571,0.38
2016-06-02T09:00:00Z,32.12,-77.1,27.602,0.38
2016-06-02T09:00:00Z,32.12,-77.09,27.599,0.38
2016-06-02T09:00:00Z,32.12,-77.08,27.584,0.38
2016-06-03T09:00:00Z,32.1,-77.1,27.617,0.37
2016-06-03T09:00:00Z,32.1,-77.09,27.614,0.37
2016-06-03T09:00:00Z,32.1,-77.08,27.612000000000002,0.37
2016-06-03T09:00:00Z,32.11,-77.1,27.621,0.37
2016-06-03T09:00:00Z,32.11,-77.09,27.609,0.37
2016-06-03T09:00:00Z,32.11,-77.08,27.6,0.37
2016-06-03T09:00:00Z,32.12,-77.1,27.609,0.37
2016-06-03T09:00:00Z,32.12,-77.09,27.591,0.37
2016-06-03T09:00:00Z,32.12,-77.08,27.582,0.37
2016-06-04T09:00:00Z,32.1,-77.1,26.972,0.37
2016-06-04T09:00:00Z,32.1,-77.09,26.913,0.37
2016-06-04T09:00:00Z,32.1,-77.08,26.868,0.37
2016-06-04T09:00:00Z,32.11,-77.1,27.022,0.37
2016-06-04T09:00:00Z,32.11,-77.09,26.949,0.37
2016-06-04T09:00:00Z,32.11,-77.08,26.892,0.37
2016-06-04T09:00:00Z,32.12,-77.1,27.073999999999998,0.37
2016-06-04T09:00:00Z,32.12,-77.09,26.99,0.37
2016-06-04T09:00:00Z,32.12,-77.08,26.925,0.37
2016-06-05T09:00:00Z,32.1,-77.1,27.294,0.37
2016-06-05T09:00:00Z,32.1,-77.09,27.261,0.37
2016-06-05T09:00:00Z,32.1,-77.08,27.236,0.37
2016-06-05T09:00:00Z,32.11,-77.1,27.367,0.37
2016-06-05T09:00:00Z,32.11,-77.09,27.329,0.37
2016-06-05T09:00:00Z,32.11,-77.08,27.302,0.37
2016-06-05T09:00:00Z,32.12,-77.1,27.431,0.37
2016-06-05T09:00:00Z,32.12,-77.09,27.385,0.37
2016-06-05T09:00:00Z,32.12,-77.08,27.352,0.37
2016-06-06T09:00:00Z,32.1,-77.1,27.686,0.38
2016-06-06T09:00:00Z,32.1,-77.09,27.643,0.38
2016-06-06T09:00:00Z,32.1,-77.08,27.594,0.38
2016-06-06T09:00:00Z,32.11,-77.1,27.704,0.38
2016-06-06T09:00:00Z,32.11,-77.09,27.663,0.38
2016-06-06T09:00:00Z,32.11,-77.08,27.617,0.38
2016-06-06T09:00:00Z,32.12,-77.1,27.717,0.38
2016-06-06T09:00:00Z,32.12,-77.09,27.678,0.38
2016-06-06T09:00:00Z,32.12,-77.08,27.634,0.38
2016-06-07T09:00:00Z,32.1,-77.1,28.762,0.38
2016-06-07T09:00:00Z,32.1,-77.09,28.724,0.38
2016-06-07T09:00:00Z,32.1,-77.08,28.677,0.38
2016-06-07T09:00:00Z,32.11,-77.1,28.748,0.38
2016-06-07T09:00:00Z,32.11,-77.09,28.708,0.38
2016-06-07T09:00:00Z,32.11,-77.08,28.661,0.38
2016-06-07T09:00:00Z,32.12,-77.1,28.731,0.38
2016-06-07T09:00:00Z,32.12,-77.09,28.69,0.38
2016-06-07T09:00:00Z,32.12,-77.08,28.645,0.38
2016-06-08T09:00:00Z,32.1,-77.1,28.489,0.37
